"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"dllhost","2","143","86962176","573440","2039808","9440","C:\Windows\SysWOW64\DllHost.exe","Microsoft Corporation","0.109375","10.0.19041.546 (WinBuild.160101.0800)","10.0.19041.546","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"5932","Microsoft.Win32.SafeHandles.SafeProcessHandle","143","3872",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9440","9440","2039808","2039808","100808","100808","2605056","2605056","7860224","7860224","91963392","91963392","True","Normal","2039808","2039808","00:00:00.0625000","dllhost","3","True","2","System.Diagnostics.ProcessStartInfo","3/24/2023 1:10:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1093750","00:00:00.0468750","86962176","86962176","False",,,,"573440","573440",,
"dwm","2","1028","2203660951552","18964480","42762240","53560","C:\Windows\system32\dwm.exe","Microsoft Corporation","26.828125","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Desktop Window Manager","Microsoft? Windows? Operating System","Process","13",,"False",,"5912","Microsoft.Win32.SafeHandles.SafeProcessHandle","1028","2824",".","0","","System.Diagnostics.ProcessModule (dwm.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","53560","53560","42762240","42762240","688640","688640","47726592","47726592","59199488","59199488","346329088","2203664551936","True","High","42762240","42762240","00:00:12.4375000","dwm","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:34:43 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:26.8281250","00:00:14.3906250","342728704","2203660951552","False",,,,"18964480","18964480",,
"explorer","2","2696","2204038221824","22155264","81592320","130448","C:\Windows\Explorer.EXE","Microsoft Corporation","50.0625","10.0.19041.1806 (WinBuild.160101.0800)","10.0.19041.1806","Windows Explorer","Microsoft? Windows? Operating System","Process","8",,"False",,"5756","Microsoft.Win32.SafeHandles.SafeProcessHandle","2696","1080",".","327828","","System.Diagnostics.ProcessModule (Explorer.EXE)","1413120","204800","System.Diagnostics.ProcessModuleCollection","130448","130448","81592320","81592320","1252192","1252192","86900736","86900736","266633216","266633216","767107072","2204085329920","True","Normal","81592320","81592320","00:00:27.2812500","explorer","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:34:44 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:50.0625000","00:00:22.7812500","719998976","2204038221824","False",,,,"22155264","22155264",,
"fontdrvhost","0","36","2203386716160","0","1318912","5704","C:\Windows\system32\fontdrvhost.exe","Microsoft Corporation","0.046875","10.0.19041.1620 (WinBuild.160101.0800)","10.0.19041.1620","Usermode Font Driver Host","Microsoft? Windows? Operating System","Process","8",,"False",,"6088","Microsoft.Win32.SafeHandles.SafeProcessHandle","36","760",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","5704","5704","1318912","1318912","36912","36912","1347584","1347584","3424256","3424256","69537792","2203387760640","True","Normal","1318912","1318912","00:00:00.0468750","fontdrvhost","3","True","0","System.Diagnostics.ProcessStartInfo","3/21/2023 9:58:03 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00","68493312","2203386716160","False",,,,"0","0",,
"fontdrvhost","2","36","2203393859584","0","2068480","7200","C:\Windows\system32\fontdrvhost.exe","Microsoft Corporation","0.34375","10.0.19041.1620 (WinBuild.160101.0800)","10.0.19041.1620","Usermode Font Driver Host","Microsoft? Windows? Operating System","Process","8",,"False",,"5240","Microsoft.Win32.SafeHandles.SafeProcessHandle","36","992",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","7200","7200","2068480","2068480","48816","48816","2154496","2154496","4464640","4464640","76161024","2203394383872","True","Normal","2068480","2068480","00:00:00.2656250","fontdrvhost","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:34:43 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3437500","00:00:00.0781250","75636736","2203393859584","False",,,,"0","0",,
"git-bash","2","100","4388450304","0","1560576","6520","C:\Program Files\Git\git-bash.exe","The Git Development Community","0.015625","2.40.0.windows.1","2.40.0.windows.1","Git for Windows","Git","Process","8",,"False",,"5512","Microsoft.Win32.SafeHandles.SafeProcessHandle","100","4688",".","0","","System.Diagnostics.ProcessModule (git-bash.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","6520","6520","1560576","1560576","111680","111680","1630208","1630208","6389760","6389760","102850560","4397817856","True","Normal","1560576","1560576","00:00:00.0156250","git-bash","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:40:12 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","93483008","4388450304","False",,,,"0","0",,
"Idle","0","0","8192","8192","61440","272",,,,,,,,"Process","0",,,,,,"0","0",".","0","",,,,,"272","272","61440","61440","0","0","61440","61440","12288","12288","8192","8192",,,"61440","61440",,"Idle",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"8192","8192","False",,,,"8192","8192",,
"lsass","0","1210","2203421097984","3837952","7962624","26072","C:\Windows\system32\lsass.exe","Microsoft Corporation","21.359375","10.0.19041.1586 (WinBuild.160101.0800)","10.0.19041.1586","Local Security Authority Process","Microsoft? Windows? Operating System","Process","9",,"False",,"5672","Microsoft.Win32.SafeHandles.SafeProcessHandle","1210","644",".","0","","System.Diagnostics.ProcessModule (lsass.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","26072","26072","7962624","7962624","162288","162288","8871936","8871936","28454912","28454912","104493056","2203422715904","True","Normal","7962624","7962624","00:00:09.9375000","lsass","3","True","0","System.Diagnostics.ProcessStartInfo","3/21/2023 9:58:03 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:21.3593750","00:00:11.4218750","102875136","2203421097984","False",,,,"3837952","3837952",,
"Memory Compression","0","0","556007424","476614656","1236992","0",,,"643.0625",,,,,"Process","8",,,,,,"0","1468",".","0","",,,,,"0","0","1236992","1236992","4224","4224","1372160","1372160","594886656","594886656","667156480","667156480",,,"1236992","1236992","00:10:43.0625000","Memory Compression",,"True","0","System.Diagnostics.ProcessStartInfo","3/21/2023 9:58:04 AM",,"System.Diagnostics.ProcessThreadCollection","00:10:43.0625000","00:00:00","556007424","556007424","False",,,,"476614656","476614656",,
"Microsoft.Photos","2","676","5193572352","0","49238016","44272","C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2023.10030.7003.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe","Microsoft Corporation","2.140625","2023.10030.7003.00000","2023.10030.700300000-release2023.03","Microsoft.Photos.exe","Microsoft Photos","Process","8",,"False",,"5604","Microsoft.Win32.SafeHandles.SafeProcessHandle","676","5856",".","0","","System.Diagnostics.ProcessModule (Microsoft.Photos.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","44272","44272","49238016","49238016","720392","720392","49750016","49750016","61825024","61825024","901750784","5196718080","True","Normal","49238016","49238016","00:00:01.3906250","Microsoft.Photos","3","True","2","System.Diagnostics.ProcessStartInfo","3/23/2023 11:44:58 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.1406250","00:00:00.7500000","898605056","5193572352","False",,,,"0","0",,
