"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"msedge","2","262","3486400331776","937984","16470016","15680","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","0.859375","111.0.1661.44","111.0.1661.44","Microsoft Edge","Microsoft Edge","Process","4",,"False",,"1752","Microsoft.Win32.SafeHandles.SafeProcessHandle","262","6416",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15680","15680","16470016","16470016","671744","671744","17240064","17240064","38064128","38064128","-1096335360","3486417108992","True","Idle","16470016","16470016","00:00:00.6406250","msedge","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 11:20:30 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.8593750","00:00:00.2187500","-1113112576","3486400331776","False",,,,"937984","937984",,
"msedge","2","257","3486397341696","868352","14426112","15472","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","0.484375","111.0.1661.44","111.0.1661.44","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"5608","Microsoft.Win32.SafeHandles.SafeProcessHandle","257","6872",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15472","15472","14426112","14426112","682288","682288","14594048","14594048","32509952","32509952","-1098129408","3486415314944","True","Normal","14426112","14426112","00:00:00.2500000","msedge","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:38:27 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4843750","00:00:00.2343750","-1116102656","3486397341696","False",,,,"868352","868352",,
"MsMpEng","0","905","2204095447040","50298880","323403776","96016",,,"495.171875",,,,,"Process","8",,,,,,"905","6240",".","0","",,,,,"96016","96016","323403776","323403776","578696","578696","754520064","754520064","604258304","604258304","1066156032","2204384378880",,,"323403776","323403776","00:02:04.7968750","MsMpEng",,"True","0","System.Diagnostics.ProcessStartInfo","3/21/2023 12:53:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:08:15.1875000","00:06:10.3906250","777224192","2204095447040","False",,,,"50298880","50298880",,
"MusNotifyIcon","2","229","2203463532544","0","3481600","14520","C:\Windows\system32\MusNotifyIcon.exe","Microsoft Corporation","0.1875","10.0.19041.2304 (WinBuild.160101.0800)","10.0.19041.2304","MusNotifyIcon.exe","Microsoft? Windows? Operating System","Process","6",,"False",,"4316","Microsoft.Win32.SafeHandles.SafeProcessHandle","229","3752",".","0","","System.Diagnostics.ProcessModule (MusNotifyIcon.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14520","14520","3481600","3481600","222184","222184","4059136","4059136","15667200","15667200","159268864","2203477491712","True","BelowNormal","3481600","3481600","00:00:00.1875000","MusNotifyIcon","3","True","2","System.Diagnostics.ProcessStartInfo","3/23/2023 1:00:59 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1875000","00:00:00","145309696","2203463532544","False",,,,"0","0",,
"NisSrv","0","215","2203417362432","733184","4263936","11368",,,"1.21875",,,,,"Process","8",,,,,,"215","6328",".","0","",,,,,"11368","11368","4263936","4263936","117656","117656","4952064","4952064","10600448","10600448","104439808","2203422662656",,,"4263936","4263936","00:00:00.6875000","NisSrv",,"True","0","System.Diagnostics.ProcessStartInfo","3/21/2023 12:53:20 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.2187500","00:00:00.5312500","99139584","2203417362432","False",,,,"733184","733184",,
"OneDrive","2","685","2238033448960","249856","17854464","41472","C:\Users\timothy\AppData\Local\Microsoft\OneDrive\OneDrive.exe","Microsoft Corporation","4.921875","23.048.0305.0002","23.048.0305.0002","Microsoft OneDrive","Microsoft OneDrive","Process","8",,"False",,"5656","Microsoft.Win32.SafeHandles.SafeProcessHandle","685","3892",".","0","","System.Diagnostics.ProcessModule (OneDrive.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","41472","41472","17854464","17854464","586704","586704","20029440","20029440","71274496","71274496","382504960","2238060466176","True","Normal","17854464","17854464","00:00:03.1562500","OneDrive","3","True","2","System.Diagnostics.ProcessStartInfo","3/22/2023 1:54:33 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:04.9218750","00:00:01.7656250","355487744","2238033448960","False",,,,"249856","249856",,
"powershell","2","585","2204030062592","581632","81928192","49416","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","Microsoft Corporation","4.953125","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Windows PowerShell","Microsoft? Windows? Operating System","Process","8",,"False",,"4728","Microsoft.Win32.SafeHandles.SafeProcessHandle","585","60",".","853292","Select Administrator: Windows PowerShell","System.Diagnostics.ProcessModule (powershell.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","49416","49416","81928192","81928192","481080","481080","82259968","82259968","129732608","129732608","718852096","2204037074944","True","Normal","81928192","81928192","00:00:01.7343750","powershell","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 1:02:29 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:04.9531250","00:00:03.2187500","711839744","2204030062592","False",,,,"581632","581632",,
"powershell_ise","2","926","5383569408","67383296","151846912","94968","C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe","Microsoft Corporation","170.1875","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Windows PowerShell ISE","Microsoft? Windows? Operating System","Process","8",,"False",,"5140","Microsoft.Win32.SafeHandles.SafeProcessHandle","926","788",".","132252","Administrator: Windows PowerShell ISE","System.Diagnostics.ProcessModule (PowerShell_ISE.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","94968","94968","151846912","151846912","892336","892336","183853056","183853056","208248832","208248832","1136328704","5431296000","True","Normal","151846912","151846912","00:00:48.1562500","powershell_ise","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 11:44:18 AM",,"System.Diagnostics.ProcessThreadCollection","00:02:50.2031250","00:02:02.0468750","1088602112","5383569408","False",,,,"67383296","67383296",,
"Registry","0","0","86118400","802816","4046848","22576",,,"3.375",,,,,"Process","8",,,,,,"0","92",".","0","",,,,,"22576","22576","4046848","4046848","172424","172424","74612736","74612736","139845632","139845632","142884864","142884864",,,"4046848","4046848","00:00:03.3750000","Registry",,"True","0","System.Diagnostics.ProcessStartInfo","3/21/2023 9:57:58 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.3750000","00:00:00","86118400","86118400","False",,,,"802816","802816",,
"RuntimeBroker","2","542","2203628412928","1011712","28999680","30152","C:\Windows\System32\RuntimeBroker.exe","Microsoft Corporation","9.8125","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Runtime Broker","Microsoft? Windows? Operating System","Process","8",,"False",,"5564","Microsoft.Win32.SafeHandles.SafeProcessHandle","542","3512",".","0","","System.Diagnostics.ProcessModule (RuntimeBroker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","30152","30152","28999680","28999680","401240","401240","46755840","46755840","65228800","65228800","342896640","2203661119488","True","Normal","28999680","28999680","00:00:05.0156250","RuntimeBroker","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:34:53 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:09.8125000","00:00:04.7968750","310190080","2203628412928","False",,,,"1011712","1011712",,
"RuntimeBroker","2","367","2203502444544","2502656","8003584","19576","C:\Windows\System32\RuntimeBroker.exe","Microsoft Corporation","11.21875","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Runtime Broker","Microsoft? Windows? Operating System","Process","8",,"False",,"6008","Microsoft.Win32.SafeHandles.SafeProcessHandle","367","4628",".","0","","System.Diagnostics.ProcessModule (RuntimeBroker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19576","19576","8003584","8003584","291720","291720","13062144","13062144","32800768","32800768","220979200","2203539202048","True","Normal","8003584","8003584","00:00:04.5937500","RuntimeBroker","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:34:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:11.2187500","00:00:06.6250000","184221696","2203502444544","False",,,,"2502656","2502656",,
"RuntimeBroker","2","338","2203517390848","233472","7421952","17992","C:\Windows\System32\RuntimeBroker.exe","Microsoft Corporation","1.046875","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Runtime Broker","Microsoft? Windows? Operating System","Process","8",,"False",,"6012","Microsoft.Win32.SafeHandles.SafeProcessHandle","338","5188",".","0","","System.Diagnostics.ProcessModule (RuntimeBroker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17992","17992","7421952","7421952","320744","320744","8081408","8081408","26701824","26701824","205389824","2203523612672","True","Normal","7421952","7421952","00:00:00.6718750","RuntimeBroker","3","True","2","System.Diagnostics.ProcessStartInfo","3/23/2023 11:45:00 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.0468750","00:00:00.3750000","199168000","2203517390848","False",,,,"233472","233472",,
"RuntimeBroker","2","240","2203445805056","1359872","3244032","12912","C:\Windows\System32\RuntimeBroker.exe","Microsoft Corporation","2.265625","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Runtime Broker","Microsoft? Windows? Operating System","Process","8",,"False",,"5844","Microsoft.Win32.SafeHandles.SafeProcessHandle","240","5244",".","0","","System.Diagnostics.ProcessModule (RuntimeBroker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12912","12912","3244032","3244032","182992","182992","3870720","3870720","15646720","15646720","141791232","2203460014080","True","Normal","3244032","3244032","00:00:01.5937500","RuntimeBroker","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:34:59 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.2656250","00:00:00.6718750","127582208","2203445805056","False",,,,"1359872","1359872",,
"RuntimeBroker","2","283","2203474722816","1638400","5431296","16448","C:\Windows\System32\RuntimeBroker.exe","Microsoft Corporation","0.484375","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Runtime Broker","Microsoft? Windows? Operating System","Process","8",,"False",,"4748","Microsoft.Win32.SafeHandles.SafeProcessHandle","283","6860",".","0","","System.Diagnostics.ProcessModule (RuntimeBroker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16448","16448","5431296","5431296","237456","237456","6209536","6209536","18915328","18915328","163909632","2203482132480","True","Normal","5431296","5431296","00:00:00.3750000","RuntimeBroker","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:36:00 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4843750","00:00:00.1093750","156499968","2203474722816","False",,,,"1638400","1638400",,
"SearchApp","2","1879","2238785896448","0","196087808","135912","C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe","Microsoft Corporation","32.390625","10.0.19041.1949 (WinBuild.160101.0800)","10.0.19041.1949","Search application","Microsoft? Windows? Operating System","Process","8",,"False",,"6004","Microsoft.Win32.SafeHandles.SafeProcessHandle","1879","3148",".","0","","System.Diagnostics.ProcessModule (SearchApp.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","135912","135912","196087808","196087808","973680","973680","217104384","217104384","246693888","246693888","1157562368","2238835523584","True","Normal","196087808","196087808","00:00:08.1250000","SearchApp","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:34:53 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:32.3906250","00:00:24.2656250","1107935232","2238785896448","False",,,,"0","0",,
"SearchApp","2","1154","2238750420992","0","282718208","188672","C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe","Microsoft Corporation","5.921875","10.0.19041.1949 (WinBuild.160101.0800)","10.0.19041.1949","Search application","Microsoft? Windows? Operating System","Process","8",,"False",,"5580","Microsoft.Win32.SafeHandles.SafeProcessHandle","1154","6112",".","0","","System.Diagnostics.ProcessModule (SearchApp.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","188672","188672","282718208","282718208","781048","781048","292270080","292270080","350916608","350916608","1110745088","2238788706304","True","Normal","282718208","282718208","00:00:01.2656250","SearchApp","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:35:57 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:05.9218750","00:00:04.6562500","1072459776","2238750420992","False",,,,"0","0",,
"SearchIndexer","0","688","2203513151488","2314240","30785536","50152","C:\Windows\system32\SearchIndexer.exe","Microsoft Corporation","24.546875","7.0.19041.1 (WinBuild.160101.0800)","7.0.19041.1","Microsoft Windows Search Indexer","Windows? Search","Process","8",,"False",,"5992","Microsoft.Win32.SafeHandles.SafeProcessHandle","688","3140",".","0","","System.Diagnostics.ProcessModule (SearchIndexer.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","50152","50152","30785536","30785536","228048","228048","32526336","32526336","23658496","23658496","197156864","2203515379712","True","Normal","30785536","30785536","00:00:08.5468750","SearchIndexer","3","True","0","System.Diagnostics.ProcessStartInfo","3/21/2023 9:58:07 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:24.5468750","00:00:16","194928640","2203513151488","False",,,,"2314240","2314240",,
"SecurityHealthService","0","409","2203434872832","8192","4214784","16776",,,"1.71875",,,,,"Process","8",,,,,,"409","6504",".","0","",,,,,"16776","16776","4214784","4214784","173360","173360","4710400","4710400","19570688","19570688","122941440","2203441164288",,,"4214784","4214784","00:00:01.1250000","SecurityHealthService",,"True","0","System.Diagnostics.ProcessStartInfo","3/21/2023 10:36:07 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.7187500","00:00:00.5937500","116649984","2203434872832","False",,,,"8192","8192",,
"SecurityHealthSystray","2","162","2203426799616","0","1753088","9512","C:\Windows\System32\SecurityHealthSystray.exe","Microsoft Corporation","0.28125","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Windows Security notification icon","Microsoft? Windows? Operating System","Process","8",,"False",,"5752","Microsoft.Win32.SafeHandles.SafeProcessHandle","162","3836",".","0","","System.Diagnostics.ProcessModule (SecurityHealthSystray.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9512","9512","1753088","1753088","147336","147336","2007040","2007040","9850880","9850880","112771072","2203430993920","True","Normal","1753088","1753088","00:00:00.2187500","SecurityHealthSystray","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:36:07 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2812500","00:00:00.0625000","108576768","2203426799616","False",,,,"0","0",,
"services","0","350","2203381059584","2191360","4431872","12008",,,"12.265625",,,,,"Process","9",,,,,,"350","604",".","0","",,,,,"12008","12008","4431872","4431872","143640","143640","4718592","4718592","8343552","8343552","70381568","2203388604416",,,"4431872","4431872","00:00:07.1406250","services",,"True","0","System.Diagnostics.ProcessStartInfo","3/21/2023 9:58:03 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:12.2656250","00:00:05.1250000","62836736","2203381059584","False",,,,"2191360","2191360",,
"SgrmBroker","0","105","2203377831936","643072","4042752","7464",,,"2.296875",,,,,"Process","8",,,,,,"105","3952",".","0","",,,,,"7464","7464","4042752","4042752","35184","35184","5308416","5308416","7868416","7868416","61706240","2203379929088",,,"4042752","4042752","00:00:00.7500000","SgrmBroker",,"True","0","System.Diagnostics.ProcessStartInfo","3/21/2023 10:00:05 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.2968750","00:00:01.5468750","59609088","2203377831936","False",,,,"643072","643072",,
"ShellExperienceHost","2","697","2203652313088","0","13676544","30640","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","Microsoft Corporation","1.21875","10.0.19041.1949 (WinBuild.160101.0800)","10.0.19041.1949","Windows Shell Experience Host","Microsoft? Windows? Operating System","Process","8",,"False",,"5236","Microsoft.Win32.SafeHandles.SafeProcessHandle","697","6592",".","0","","System.Diagnostics.ProcessModule (ShellExperienceHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","30640","30640","13676544","13676544","556496","556496","14819328","14819328","46272512","46272512","344707072","2203662929920","True","Normal","13676544","13676544","00:00:00.5156250","ShellExperienceHost","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:36:00 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.2187500","00:00:00.7031250","334090240","2203652313088","False",,,,"0","0",,
"sihost","2","564","2203485900800","2244608","6594560","18128","C:\Windows\system32\sihost.exe","Microsoft Corporation","12.0625","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Shell Infrastructure Host","Microsoft? Windows? Operating System","Process","8",,"False",,"5880","Microsoft.Win32.SafeHandles.SafeProcessHandle","564","2056",".","0","","System.Diagnostics.ProcessModule (sihost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18128","18128","6594560","6594560","254168","254168","7196672","7196672","28266496","28266496","190210048","2203508432896","True","Normal","6594560","6594560","00:00:05.6093750","sihost","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:34:43 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:12.0625000","00:00:06.4531250","167677952","2203485900800","False",,,,"2244608","2244608",,
"smss","0","53","2203359719424","0","1089536","3632",,,"0.125",,,,,"Process","11",,,,,,"53","304",".","0","",,,,,"3632","3632","1089536","1089536","13256","13256","1155072","1155072","1327104","1327104","49631232","2203367854080",,,"1089536","1089536","00:00:00.1250000","smss",,"True","0","System.Diagnostics.ProcessStartInfo","3/21/2023 9:58:01 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1250000","00:00:00","41496576","2203359719424","False",,,,"0","0",,
"spoolsv","0","480","2203436425216","0","6602752","23952","C:\Windows\System32\spoolsv.exe","Microsoft Corporation","0.671875","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Spooler SubSystem App","Microsoft? Windows? Operating System","Process","8",,"False",,"4656","Microsoft.Win32.SafeHandles.SafeProcessHandle","480","1876",".","0","","System.Diagnostics.ProcessModule (spoolsv.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","23952","23952","6602752","6602752","159984","159984","9179136","9179136","15613952","15613952","142462976","2203460685824","True","Normal","6602752","6602752","00:00:00.6406250","spoolsv","3","True","0","System.Diagnostics.ProcessStartInfo","3/21/2023 9:58:04 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.6718750","00:00:00.0312500","118202368","2203436425216","False",,,,"0","0",,
"StartMenuExperienceHost","2","623","2203694497792","2473984","25178112","31048","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe",,"6.015625",,,,,"Process","8",,"False",,"5664","Microsoft.Win32.SafeHandles.SafeProcessHandle","623","4900",".","0","","System.Diagnostics.ProcessModule (StartMenuExperienceHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","31048","31048","25178112","25178112","568512","568512","31035392","31035392","76193792","76193792","450772992","2203768995840","True","Normal","25178112","25178112","00:00:01.8750000","StartMenuExperienceHost","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:34:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:06.0156250","00:00:04.1406250","376274944","2203694497792","False",,,,"2473984","2473984",,
"svchost","0","405","2203535757312","4763648","17285120","17976","C:\Windows\system32\svchost.exe","Microsoft Corporation","18.1875","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"5220","Microsoft.Win32.SafeHandles.SafeProcessHandle","405","408",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17976","17976","17285120","17285120","139504","139504","40501248","40501248","37597184","37597184","240824320","2203559047168","True","Normal","17285120","17285120","00:00:12.1406250","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","3/21/2023 9:58:04 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:18.1875000","00:00:06.0468750","217534464","2203535757312","False",,,,"4763648","4763648",,
"svchost","0","839","2203461107712","1335296","16572416","21152","C:\Windows\System32\svchost.exe","Microsoft Corporation","8.71875","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"5872","Microsoft.Win32.SafeHandles.SafeProcessHandle","839","712",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","21152","21152","16572416","16572416","173248","173248","24100864","24100864","32104448","32104448","200974336","2203519197184","True","Normal","16572416","16572416","00:00:06.0156250","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","3/21/2023 9:58:04 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:08.7187500","00:00:02.7031250","142884864","2203461107712","False",,,,"1335296","1335296",,
"svchost","0","2092","2203960823808","14798848","200957952","132800","C:\Windows\system32\svchost.exe","Microsoft Corporation","311.296875","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"5396","Microsoft.Win32.SafeHandles.SafeProcessHandle","2092","732",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","132800","132800","200957952","200957952","661488","661488","223399936","223399936","133017600","133017600","683810816","2204002033664","True","Normal","200957952","200957952","00:02:15.2812500","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","3/21/2023 9:58:04 AM",,"System.Diagnostics.ProcessThreadCollection","00:05:11.2968750","00:02:56.0156250","642600960","2203960823808","False",,,,"14798848","14798848",,
"svchost","0","1343","2203457597440","5726208","11714560","25400","C:\Windows\system32\svchost.exe","Microsoft Corporation","27.796875","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"6060","Microsoft.Win32.SafeHandles.SafeProcessHandle","1343","776",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","25400","25400","11714560","11714560","657352","657352","29097984","29097984","37425152","37425152","158552064","2203476774912","True","Normal","11714560","11714560","00:00:17.1718750","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","3/21/2023 9:58:03 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:27.7968750","00:00:10.6250000","139374592","2203457597440","False",,,,"5726208","5726208",,
"svchost","0","1002","2203424743424","5902336","9195520","19992","C:\Windows\system32\svchost.exe","Microsoft Corporation","38.890625","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"5636","Microsoft.Win32.SafeHandles.SafeProcessHandle","1002","884",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19992","19992","9195520","9195520","174712","174712","9478144","9478144","28717056","28717056","124211200","2203442434048","True","Normal","9195520","9195520","00:00:17.1718750","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","3/21/2023 9:58:04 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:38.8906250","00:00:21.7187500","106520576","2203424743424","False",,,,"5902336","5902336",,
"svchost","0","229","2203414282240","126976","2478080","12368","C:\Windows\system32\svchost.exe","Microsoft Corporation","0.171875","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"4420","Microsoft.Win32.SafeHandles.SafeProcessHandle","229","960",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12368","12368","2478080","2478080","118368","118368","2727936","2727936","27824128","27824128","102350848","2203420573696","True","Normal","2478080","2478080","00:00:00.1406250","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","3/21/2023 10:51:09 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1718750","00:00:00.0312500","96059392","2203414282240","False",,,,"126976","126976",,
"svchost","0","778","2207865225216","1875968","13897728","36176","C:\Windows\System32\svchost.exe","Microsoft Corporation","40.390625","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"6072","Microsoft.Win32.SafeHandles.SafeProcessHandle","778","1044",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","36176","36176","13897728","13897728","246656","246656","35463168","35463168","49799168","49799168","327262208","2207940452352","True","Normal","13897728","13897728","00:00:29.2031250","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","3/21/2023 9:58:04 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:40.3906250","00:00:11.1875000","252035072","2207865225216","False",,,,"1875968","1875968",,
"svchost","0","970","2203532529664","3252224","12767232","54688","C:\Windows\system32\svchost.exe","Microsoft Corporation","11.359375","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"5772","Microsoft.Win32.SafeHandles.SafeProcessHandle","970","1112",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","54688","54688","12767232","12767232","333952","333952","14049280","14049280","57356288","57356288","381026304","2203699249152","True","Normal","12767232","12767232","00:00:07.1093750","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","3/21/2023 9:58:04 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:11.3593750","00:00:04.2500000","214306816","2203532529664","False",,,,"3252224","3252224",,
"svchost","2","927","2203589582848","3260416","14405632","40512","C:\Windows\system32\svchost.exe","Microsoft Corporation","5.984375","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"6092","Microsoft.Win32.SafeHandles.SafeProcessHandle","927","1168",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","40512","40512","14405632","14405632","403520","403520","17649664","17649664","87138304","87138304","285892608","2203604115456","True","Normal","14405632","14405632","00:00:02.7500000","svchost","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:34:43 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:05.9843750","00:00:03.2343750","271360000","2203589582848","False",,,,"3260416","3260416",,
